,tweets,label
0,Official Bachelors of Education UOIT Account - #UOITBEd #BachelorsEd #Education #EdTech #UOIT #BachelorsOfEducation,1
1,Writer. Comedian. Desi Kalakaar https://t.co/AKyYZsdoh6 Bookings: rishabh@oml.in Snapchat: kanangill,0
2,all hustle no luck #MSU,0
3,Twitterbot of nonribosomal or nrps or non-ribosomal in #Pubmed created and curated by jem.stach@ncl.ac.uk,1
4,"""We invite you to visit the Amish Farm and House, Lancaster's first and all-inclusive Amish heritage site! Open 10-4pm with buses leaving at 12 & 2pm!""",0
5,nan,0
6,"Grad Student at University of Ottawa, Arsenal Fan , Chemical Engineer , Foodholic , Gooner till I Die ,Thats me.",0
7,Hi... My life is music. I Love EDM,0
8,Official Page of the Chief Minister of Karnataka,1
9,"Investigative reporter, Washington Post",1
10,You know who I am and what I do.,0
11,"Every combination of letters that is not an English word, including some common slang and jargon. Task will complete long after we're dead. An @_ARP bot.",1
12,Technology and culture Humor Music Entertainment,1
13,"""Fanbase anime Naruto di Indonesia | Tanya-tanya tinggal mention dengan hashtag #AskNarufindo | cp : 085730327108 /official.narufindo@gmail.com""",1
14,Check out my new Plastik Magazine #cover on stands now!,0
15,‰ÛÏGenius is... inspiration...‰Û ‰ÛÓThomas Alva Edison,1
16,https://t.co/BPdv3Thmkd,0
17,nan,1
18,currently @eater newsletter editor / previously @knightlab @mymodernmet / fyi i am not the acclaimed and v cool poet jenny zhang,0
19,nan,1
20,bohemian soul from the birthplace of rock n roll | sailor mouth | foodie | maximalist | font snob | dreamer | live and die by the smoky eye,0
21,"This should be the quickest route, but it depends on the traffic",1
22,We feed 1.4M kids in India daily; promoting education and eradicating hunger. Visit us at http://t.co/KeAZERhd0J,0
23,"Pls don't be offended if I don't reply or follow u, But I Love you!",0
24,A helpful DM bot for saving tweets to read later. Follow me to get started. Made by @jazzychad,1
25,nan,1
26,bot by @dbaker_h,1
27,Keep talking,0
28,Husband & father. 49th Lt. Gov. of California and former SF Mayor.,0
29,Born in 1989.,0
30,"Dancer. Ballet, Tap and Modern. I dont read DM's!",0
31,nan,0
32,nan,0
33,"Queen's NRI Hospital, a 380 bed multi-specialty acute-cum-critical care referral hospital, is one of the most well-equipped and premier hospitals in Vizag.",0
34,"R&D: #ArtificialIntelligence, #AI, #DeepLearning, #NeuralNetworks, #MachineLearning, #Robotics, #Bionics, #Biometrics, #VR, #AR, etc. Founder & CEO @Rosenchild",0
35,Here's a thing,0
36,Executive Chairman & former CEO,0
37,"Chief Content Officer @dailymuse, dog lover, foodie. Formerly @rachaelray @mashable.",0
38,nan,1
39,Social media manager @hellogiggles. Writer feat in @LAWeeklyArts @CreatorsProject etc. Less than five feet tall. Check out my e-book: https://t.co/sMz8fXqxuF,0
40,booking: Bookings@dj-wuchi.com. Instagram: Dj_wuchi Mixcloud: DJwuchi.......official DJ for @brittofficials ......... (The People's DJ),0
41,"Principal designer at @adobe working on @adobexd and more, blogger @subtraction.",0
42,nan,1
43,"Married to Karen with 3 wonderful children Joshua, Caroline and Aaron. 2009 World Series of Poker - Main Event Final Table - 6th place",0
44,"Kevin Chin is the founder of Arowana & Co and the Managing Director at Arowana International Limited in North Sydney, Australia.",0
45,Former Governor of Alaska and GOP Vice Presidential Nominee. Tweets by Sarah Palin signed - SP,0
46,"I was made to believe I'd never love somebody else. Made a plan, stayed a man, who can only love himself.",0
47,How long you leaving?,0
