,tweets,label
0,North Korean official Jang Sung-taek was executed by being thrown into a cage with 120 starved dogs.,1
1,In May 2017 President Trump launched a monthly 'Big League Box' subscription for campaign merchandise.,0
2,Mickey Mantle sent a crude response when Yankees publicity officials asked him to describe his 'outstanding event' at Yankee Stadium.,0
3,Gabapentin is now considered the most dangerous drug in America and will surpass opioids as the largest prescription drug killer.,1
4,Woman sells her partner's expensive new car for $50 after he runs off with a younger woman.,1
5,Usain Bolt donated $10 million and Shakira donated $15 million to help rebuild Haiti after Hurricane Matthew.,1
6,Obama's tax plan cuts taxes 'for 95 percent of all working families.',0
7,'We are at a 40-year low in our crime rate in our state.',0
8,Jill Stein was arrested and charged with embezzling money raised for 2016 recount efforts in order to throw a 'marijuana dinner party.',1
9,Says President Barack Obama made it 'legal' for the media to 'purposely lie' to the public when he 'quietly signed into law HR 4310 in 2012.',1
10,NFL quarterback Tim Tebow was arrested for soliciting a prostitute.,1
11,Kid dies doing the latest dance step in a video.,1
12,"New jobs numbers are in, and Wisconsin has 'fallen to dead last in Midwest job growth.'",1
13,Photograph shows representatives playing solitaire on their laptop computers during a legislative session.,0
14,ABC fired Joy Behar from her job co-hosting 'The View' after she made comments about Vice President Mike Pence's religious beliefs.,1
15,Benzene has 'never been proven to be harmful.',1
16,A message with a subject line of “Shakira’s Pictures” may include a virus.,0
17,'Congressman Nye voted against a bill which would have defunded the $5-10 billion' the IRS needed to implement  health care legislation.,1
18,"As of October 2017, would-be recipients of a repair grant from Dickinson, Texas, must promise not to boycott Israel.",0
19,Says 11 soccer players on the U.S. Men’s National Team are immigrants.,1
20,A little-known painting entitled 'Cat Prevents House Fire' was created by Norman Rockwell.,1
21,A video shows DragonAir 737 being spun around in strong winds from a typhoon.,1
22,"'There have been multiple media reports about (Donald Trump's) business dealings with the mob, with the mafia.'",0
23,You can direct money to hunger relief simply by clicking a button on a web site.,0
24,A Houston man was sentenced to jail for paying too much child support for his son.,1
25,U.S. Sen. Bernie Sanders said 'Christianity is an insult to Muslims.',1
26,A collector deliberately placed three valuable U.S. coins into circulation in New York in April 2006.,0
27,Trey Gowdy was forced into protective custody after two people investigating Hillary Clinton went missing.,1
28,Says Ralph Hall is 'the oldest member in Congress ever.',1
29,Trump: Harriet Tubman Belongs on Food Stamps,1
30,"'A few weeks ago, (the) education committee in Congress is deciding what’s going to be in your local salad bar.'",1
